MetaboLightsID	ChEBIId	CompoundName	KEGGPathwaysMappings
MTBLC1162	CHEBI:1162	2-hydroxyhepta-2,4-dienedioic acid	Tyrosine metabolism; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC11684	CHEBI:11684	3,3',5'-triiodo-L-thyronine	Thyroid hormone signaling pathway
MTBLC1171	CHEBI:1171	2-hydroxypropylphosphonic acid	Phosphonate and phosphinate metabolism; Biosynthesis of antibiotics
MTBLC11935	CHEBI:11935	4-(beta-D-glucosyloxy)benzoate	Ubiquinone and other terpenoid-quinone biosynthesis
MTBLC11951	CHEBI:11951	4-acetamidobutanoate	Arginine and proline metabolism; Metabolic pathways
MTBLC1241	CHEBI:1241	2-Oxo-4-hydroxy-5-aminovalerate	Arginine and proline metabolism
MTBLC12532	CHEBI:12532	N,N-dihydroxy-L-tyrosine	Cyanoamino acid metabolism; Biosynthesis of secondary metabolites
MTBLC17330	CHEBI:17330	carboxyacetyl-[acyl-carrier protein]	Fatty acid biosynthesis; Biotin metabolism; Metabolic pathways; Fatty acid metabolism
MTBLC17334	CHEBI:17334	penicillin	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC17360	CHEBI:17360	D-altronate	Pentose and glucuronate interconversions; Metabolic pathways
MTBLC17371	CHEBI:17371	macrocin	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC17372	CHEBI:17372	1,2-dihydrovomilenine	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC17379	CHEBI:17379	isovitexin 2''-O-beta-D-glucoside	Flavone and flavonol biosynthesis
MTBLC17383	CHEBI:17383	GDP-D-glucose	Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways
MTBLC17384	CHEBI:17384	17-O-acetylnorajmaline	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC17390	CHEBI:17390	allocryptopine	Isoquinoline alkaloid biosynthesis
MTBLC17396	CHEBI:17396	(R)-prunasin	Cyanoamino acid metabolism; Biosynthesis of secondary metabolites
MTBLC17428	CHEBI:17428	(R)-reticuline	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17435	CHEBI:17435	naphthalene-1,2-diol	Polycyclic aromatic hydrocarbon degradation; Naphthalene degradation; Metabolism of xenobiotics by cytochrome P450; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Chemical carcinogenesis
MTBLC17437	CHEBI:17437	dimethyl sulfide	Sulfur metabolism
MTBLC17440	CHEBI:17440	4-nitrophenyl phosphate	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC17447	CHEBI:17447	geraniol	Geraniol degradation; Monoterpenoid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from terpenoid and polyketide; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC17458	CHEBI:17458	N-methyltyramine	Tyrosine metabolism
MTBLC17464	CHEBI:17464	L-galactono-1,4-lactone	Ascorbate and aldarate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17476	CHEBI:17476	1-(alk-1-enyl)-2-acyl-sn-glycero-3-phosphoethanolamine	Ether lipid metabolism; Metabolic pathways
MTBLC17485	CHEBI:17485	homocystine	Cysteine and methionine metabolism
MTBLC17486	CHEBI:17486	(S)-atropine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17488	CHEBI:17488	scopoletin	Phenylpropanoid biosynthesis; Biosynthesis of phenylpropanoids
MTBLC17516	CHEBI:17516	but-1-ene-1,2,4-tricarboxylic acid	Lysine biosynthesis; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of antibiotics; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
MTBLC17543	CHEBI:17543	1-phospho-alpha-D-galacturonic acid	Amino sugar and nucleotide sugar metabolism
MTBLC17572	CHEBI:17572	5-amino-2-oxopentanoate	Arginine and proline metabolism; D-Arginine and D-ornithine metabolism; Metabolic pathways
MTBLC17574	CHEBI:17574	biochanin A	Isoflavonoid biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites
MTBLC17605	CHEBI:17605	2-formylbenzoic acid	Polycyclic aromatic hydrocarbon degradation; Microbial metabolism in diverse environments
MTBLC17615	CHEBI:17615	1,2-diacyl-3-beta-D-galactosyl-sn-glycerol	Glycerolipid metabolism; Metabolic pathways
MTBLC17628	CHEBI:17628	2-aminoacetaldehyde	Taurine and hypotaurine metabolism
MTBLC17630	CHEBI:17630	kanamycin A	Biosynthesis of antibiotics
MTBLC17642	CHEBI:17642	pentachlorophenol	Chlorocyclohexane and chlorobenzene degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC17645	CHEBI:17645	4-acetamidobutanoic acid	Arginine and proline metabolism; Metabolic pathways
MTBLC17655	CHEBI:17655	4-hydroxy-2-oxopentanoic acid	Phenylalanine metabolism; Benzoate degradation; Dioxin degradation; Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC17656	CHEBI:17656	(R)-mandelic acid	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC17658	CHEBI:17658	tylosin	Biosynthesis of 12-, 14- and 16-membered macrolides; Type I polyketide structures; Biosynthesis of antibiotics
MTBLC17666	CHEBI:17666	L-ribulose 5-phosphate	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC17699	CHEBI:17699	16-hydroxytabersonine	Indole alkaloid biosynthesis
MTBLC17705	CHEBI:17705	N(2)-succinyl-L-arginine	Arginine and proline metabolism; Metabolic pathways
MTBLC17711	CHEBI:17711	nocardicin A	Monobactam biosynthesis; Biosynthesis of antibiotics; Cephalosporins - parenteral agents
MTBLC17729	CHEBI:17729	(S)-norcoclaurine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17764	CHEBI:17764	2-C-methyl-D-erythritol 4-(dihydrogen phosphate)	Terpenoid backbone biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC17768	CHEBI:17768	N-acetylputrescine	Arginine and proline metabolism; Metabolic pathways
MTBLC17772	CHEBI:17772	(S)-tetrahydrocolumbamine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC17781	CHEBI:17781	lumichrome	Riboflavin metabolism
MTBLC17784	CHEBI:17784	2-amino-2-deoxy-D-gluconic acid	Pentose phosphate pathway; Microbial metabolism in diverse environments; Phosphotransferase system (PTS)
MTBLC17789	CHEBI:17789	dihydrochelirubine	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17791	CHEBI:17791	obtusifoliol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC17792	CHEBI:17792	organic halide	Glutathione metabolism
MTBLC17847	CHEBI:17847	p-cresol	Toluene degradation; Nitrotoluene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds; Protein digestion and absorption
MTBLC17860	CHEBI:17860	6-phospho-2-dehydro-3-deoxy-D-galactonic acid	Galactose metabolism; Metabolic pathways
MTBLC17876	CHEBI:17876	rifamycin B	Biosynthesis of ansamycins; Type I polyketide structures; Biosynthesis of antibiotics
MTBLC17886	CHEBI:17886	D-tagaturonate	Pentose and glucuronate interconversions; Metabolic pathways
MTBLC17892	CHEBI:17892	L-rhamnulose 1-phosphate	Fructose and mannose metabolism; Microbial metabolism in diverse environments
MTBLC17922	CHEBI:17922	fluoren-9-one	Polycyclic aromatic hydrocarbon degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC17936	CHEBI:17936	2-acyl-sn-glycero-3-phosphate	Glycerophospholipid metabolism
MTBLC17939	CHEBI:17939	puromycin	Puromycin biosynthesis; Biosynthesis of antibiotics
MTBLC17942	CHEBI:17942	D-allose 6-phosphate	Fructose and mannose metabolism; Microbial metabolism in diverse environments
MTBLC17945	CHEBI:17945	N-cyclohexylformamide	Caprolactam degradation; Microbial metabolism in diverse environments
MTBLC17957	CHEBI:17957	5-(2-hydroxyethyl)-4-methylthiazole	Thiamine metabolism; Metabolic pathways
MTBLC18010	CHEBI:18010	3',4',5-trihydroxy-3,7-dimethoxyflavone	Flavone and flavonol biosynthesis
MTBLC18023	CHEBI:18023	sirohydrochlorin	Porphyrin and chlorophyll metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18027	CHEBI:18027	(-)-aristolochene	Sesquiterpenoid and triterpenoid biosynthesis; Biosynthesis of terpenoids and steroids; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18029	CHEBI:18029	dihydromacarpine	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18049	CHEBI:18049	piperidine	Tropane, piperidine and pyridine alkaloid biosynthesis; Protein digestion and absorption
MTBLC18057	CHEBI:18057	vellosimine	Indole alkaloid biosynthesis; Biosynthesis of secondary metabolites
MTBLC18062	CHEBI:18062	4-guanidinobutanamide	Arginine and proline metabolism
MTBLC18065	CHEBI:18065	deacetylcephalosporin C	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC18067	CHEBI:18067	phylloquinone	Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Vitamin digestion and absorption
MTBLC18081	CHEBI:18081	3-hexaprenyl-4,5-dihydroxybenzoic acid	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC18098	CHEBI:18098	CMP-N-glycoloyl-beta-neuraminic acid	Amino sugar and nucleotide sugar metabolism
MTBLC18106	CHEBI:18106	deacetylipecoside	Isoquinoline alkaloid biosynthesis
MTBLC18124	CHEBI:18124	phosphonoacetaldehyde	Phosphonate and phosphinate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of antibiotics
MTBLC18128	CHEBI:18128	luteolin 7-O-beta-D-glucosiduronic acid	Flavone and flavonol biosynthesis
MTBLC18136	CHEBI:18136	3-(2,3-dihydroxyphenyl)propanoic acid	Phenylalanine metabolism; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC18144	CHEBI:18144	all-trans-nonaprenyl diphosphate	Ubiquinone and other terpenoid-quinone biosynthesis; Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites
MTBLC18146	CHEBI:18146	(R)-canadine	Isoquinoline alkaloid biosynthesis
MTBLC18157	CHEBI:18157	aerobactin	Lysine degradation; Microbial metabolism in diverse environments
MTBLC18162	CHEBI:18162	nonaprenyl 4-hydroxybenzoate	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
MTBLC18165	CHEBI:18165	isopenicillin N	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC18170	CHEBI:18170	selenic acid	Selenocompound metabolism
MTBLC18171	CHEBI:18171	8-O-methylsterigmatocystin	Aflatoxin biosynthesis
MTBLC18188	CHEBI:18188	(S)-3-aminoisobutyrate	Valine, leucine and isoleucine degradation
MTBLC18195	CHEBI:18195	alpha,alpha'-trehalose 6,6'-bismycolate	Tuberculosis
MTBLC18197	CHEBI:18197	di-trans,poly-cis-undecaprenyl diphosphate	Peptidoglycan biosynthesis; Terpenoid backbone biosynthesis; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites
MTBLC18199	CHEBI:18199	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	Lysine biosynthesis; Peptidoglycan biosynthesis
MTBLC18203	CHEBI:18203	penicillin N	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC18206	CHEBI:18206	2-amino-5-oxocyclohex-1-enecarbonyl-CoA	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC18215	CHEBI:18215	syringetin	Flavone and flavonol biosynthesis
MTBLC18224	CHEBI:18224	isoeugenol	Phenylpropanoid biosynthesis
MTBLC18227	CHEBI:18227	sterigmatocystin	Aflatoxin biosynthesis
MTBLC18229	CHEBI:18229	deacetoxycephalosporin C	Penicillin and cephalosporin biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC18232	CHEBI:18232	D-galactosamine 6-phosphate	Galactose metabolism; Phosphotransferase system (PTS)
MTBLC18236	CHEBI:18236	6-demethylsterigmatocystin	Aflatoxin biosynthesis
MTBLC18237	CHEBI:18237	glutamic acid	Cyanoamino acid metabolism
MTBLC18249	CHEBI:18249	ergosta-5,7,22,24(28)-tetraen-3beta-ol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC18267	CHEBI:18267	5-oxo-4,5-dihydro-2-furylacetic acid	Benzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC18285	CHEBI:18285	(S)-stylopine	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18291	CHEBI:18291	manganese atom	Photosynthesis; Metabolic pathways; ABC transporters; Two-component system
MTBLC18292	CHEBI:18292	jasmonic acid	alpha-Linolenic acid metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Plant hormone signal transduction
MTBLC18299	CHEBI:18299	1-C-(indol-3-yl)glycerol 3-phosphate	Phenylalanine, tyrosine and tryptophan biosynthesis; Benzoxazinoid biosynthesis; Indole diterpene alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics; Biosynthesis of amino acids
MTBLC18316	CHEBI:18316	4-ethylamino-6-isopropylamino-1,3,5-triazin-2-ol	Atrazine degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC18328	CHEBI:18328	13-hydroxylupanine	Tropane, piperidine and pyridine alkaloid biosynthesis
MTBLC18330	CHEBI:18330	isovitexin	Flavone and flavonol biosynthesis
MTBLC18333	CHEBI:18333	D-arabinitol	Pentose and glucuronate interconversions; Metabolic pathways
MTBLC18346	CHEBI:18346	vanillin	Phenylalanine metabolism; Aminobenzoate degradation; Biosynthesis of phenylpropanoids; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
MTBLC18353	CHEBI:18353	vanillyl alcohol	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC18360	CHEBI:18360	13-(2-methylcrotonoyloxy)lupanine	Tropane, piperidine and pyridine alkaloid biosynthesis
MTBLC18362	CHEBI:18362	17-O-deacetylvindoline	Indole alkaloid biosynthesis
MTBLC18363	CHEBI:18363	reticulinylium	Isoquinoline alkaloid biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18373	CHEBI:18373	(7S)-salutaridinol	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18399	CHEBI:18399	codeinone	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC18400	CHEBI:18400	2-hydroxy-1,4-benzoquinone	Chlorocyclohexane and chlorobenzene degradation; Aminobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC18404	CHEBI:18404	3-methylcatechol	Xylene degradation; Toluene degradation; Naphthalene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC18412	CHEBI:18412	N(omega)-phospho-L-arginine	Arginine and proline metabolism
MTBLC18425	CHEBI:18425	2-C-methyl-D-erythritol 2,4-cyclic diphosphate	Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC18430	CHEBI:18430	3-hydroxy-16-methoxy-2,3-dihydrotabersonine	Indole alkaloid biosynthesis
MTBLC18435	CHEBI:18435	(+)-7-isojasmonic acid	alpha-Linolenic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites
MTBLC1848	CHEBI:1848	4-hydroxy-4-methylglutamate	C5-Branched dibasic acid metabolism
MTBLC1879	CHEBI:1879	2-(4-hydroxyphenyl)ethanol	Tyrosine metabolism
MTBLC1883	CHEBI:1883	4-hydroxystyrene	Phenylpropanoid biosynthesis
MTBLC1893	CHEBI:1893	4-Methyl-L-glutamate	C5-Branched dibasic acid metabolism
MTBLC1895	CHEBI:1895	4-methylbenzyl alcohol	Xylene degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC19143	CHEBI:19143	12-oxo-cis-dodec-9-enoic acid	alpha-Linolenic acid metabolism; Biosynthesis of secondary metabolites
MTBLC19144	CHEBI:19144	12-oxo-trans-10-dodecenoic acid	alpha-Linolenic acid metabolism; Biosynthesis of secondary metabolites
MTBLC19341	CHEBI:19341	2,4-diamino-6-hydroxylaminotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC19342	CHEBI:19342	2,4-diamino-6-nitrotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC19357	CHEBI:19357	2,4-dihydroxylamino-6-nitrotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC19389	CHEBI:19389	2,6-diamino-4-nitrotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC1941	CHEBI:1941	4-(trimethylammonio)butanoic acid	Lysine degradation; ABC transporters
MTBLC19450	CHEBI:19450	2-amino-5-oxohexanoic acid	Lysine degradation
MTBLC19452	CHEBI:19452	2-amino-4,6-dinitrotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC1949	CHEBI:1949	4alpha-methylzymosterol	Steroid biosynthesis; Metabolic pathways; Biosynthesis of antibiotics
MTBLC19644	CHEBI:19644	2-hydroxylamino-4,6-dinitrotoluene	Nitrotoluene degradation; Microbial metabolism in diverse environments
MTBLC27865	CHEBI:27865	fucosterol	Biosynthesis of plant secondary metabolites
MTBLC27881	CHEBI:27881	resveratrol	Stilbenoid, diarylheptanoid and gingerol biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites; Longevity regulating pathway - mammal; Longevity regulating pathway - worm
MTBLC27882	CHEBI:27882	(S)-colchicine	Isoquinoline alkaloid biosynthesis; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC27891	CHEBI:27891	S-sulfo-L-cysteine	Cysteine and methionine metabolism; Biosynthesis of amino acids
MTBLC27893	CHEBI:27893	4-fluorobenzoate	Fluorobenzoate degradation; Metabolic pathways; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC27902	CHEBI:27902	tetracycline	Tetracycline biosynthesis; Biosynthesis of type II polyketide products; Biosynthesis of antibiotics; Bile secretion
MTBLC27920	CHEBI:27920	cuscohygrine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC27930	CHEBI:27930	indan-2-one	Polycyclic aromatic hydrocarbon degradation; Microbial metabolism in diverse environments
MTBLC27953	CHEBI:27953	physostigmine	Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of secondary metabolites
MTBLC27956	CHEBI:27956	L-dehydroascorbic acid	Ascorbate and aldarate metabolism; Glutathione metabolism; Metabolic pathways
MTBLC27963	CHEBI:27963	(Kdo)2-lipid A	Lipopolysaccharide biosynthesis; Metabolic pathways; Cationic antimicrobial peptide (CAMP) resistance
MTBLC27967	CHEBI:27967	11beta-hydroxyandrost-4-ene-3,17-dione	Steroid hormone biosynthesis
MTBLC27969	CHEBI:27969	mesaconyl-CoA	Glyoxylate and dicarboxylate metabolism; C5-Branched dibasic acid metabolism; Carbon fixation pathways in prokaryotes; Microbial metabolism in diverse environments; Carbon metabolism
MTBLC27975	CHEBI:27975	L-glyceraldehyde	Pentose and glucuronate interconversions; Metabolic pathways
MTBLC27977	CHEBI:27977	erythronolide B	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC27986	CHEBI:27986	nitrosobenzene	Aminobenzoate degradation; Microbial metabolism in diverse environments
MTBLC27994	CHEBI:27994	luteolin 7-O-beta-D-glucoside	Flavone and flavonol biosynthesis
MTBLC28	CHEBI:28	(R)-linalool	Monoterpenoid biosynthesis; Biosynthesis of terpenoids and steroids; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
MTBLC28001	CHEBI:28001	vancomycin	Biosynthesis of vancomycin group antibiotics; Biosynthesis of antibiotics; Vancomycin resistance; Two-component system
MTBLC28005	CHEBI:28005	cyclohex-1-ene-1-carbonyl-CoA	Benzoate degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28006	CHEBI:28006	O,O-diethyl hydrogen thiophosphate	Aminobenzoate degradation
MTBLC28012	CHEBI:28012	lupinine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of secondary metabolites
MTBLC28024	CHEBI:28024	cyanic acid	Nitrogen metabolism; ABC transporters
MTBLC28029	CHEBI:28029	aldehydo-D-rhamnose	ABC transporters
MTBLC28032	CHEBI:28032	4'-hydroxyacetophenone	Bisphenol degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28040	CHEBI:28040	gibberellin A29	Diterpenoid biosynthesis
MTBLC28064	CHEBI:28064	cyanidin 3-O-rutinoside	Anthocyanin biosynthesis
MTBLC28072	CHEBI:28072	guanosine 3'-monophosphate	Purine metabolism
MTBLC28077	CHEBI:28077	rifampicin	Bile secretion
MTBLC28089	CHEBI:28089	N-hydroxy-L-tyrosine	Cyanoamino acid metabolism; Biosynthesis of secondary metabolites
MTBLC28092	CHEBI:28092	gamma-glutamyl-beta-aminopropiononitrile	Cyanoamino acid metabolism
MTBLC28094	CHEBI:28094	2,2,2-trichloroethanol	Chloroalkane and chloroalkene degradation; Metabolism of xenobiotics by cytochrome P450; Microbial metabolism in diverse environments; Chemical carcinogenesis; Hypnotics
MTBLC28098	CHEBI:28098	kanamycin B	Biosynthesis of antibiotics
MTBLC28103	CHEBI:28103	pinobanksin	Flavonoid biosynthesis
MTBLC28113	CHEBI:28113	24,25-dihydrolanosterol	Steroid biosynthesis
MTBLC28116	CHEBI:28116	5-guanidino-2-oxopentanoic acid	Arginine and proline metabolism; D-Arginine and D-ornithine metabolism; Metabolic pathways
MTBLC28121	CHEBI:28121	harmine	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC28137	CHEBI:28137	D-glycero-D-manno-heptose 1-phosphate	Lipopolysaccharide biosynthesis; Metabolic pathways
MTBLC28138	CHEBI:28138	undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	Peptidoglycan biosynthesis
MTBLC28142	CHEBI:28142	chloral hydrate	Metabolism of xenobiotics by cytochrome P450; Chemical carcinogenesis
MTBLC28157	CHEBI:28157	pinocembrin	Flavonoid biosynthesis
MTBLC28163	CHEBI:28163	iron(III) hydroxamate	ABC transporters
MTBLC28169	CHEBI:28169	2-hydroxycyclohexane-1-carbonyl-CoA	Benzoate degradation; Microbial metabolism in diverse environments; Degradation of aromatic compounds
MTBLC28172	CHEBI:28172	harmaline	Biosynthesis of alkaloids derived from shikimate pathway
MTBLC28177	CHEBI:28177	theophylline	Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine and purine; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments
MTBLC28185	CHEBI:28185	kanamycin C	Biosynthesis of antibiotics
MTBLC28193	CHEBI:28193	lupanine	Tropane, piperidine and pyridine alkaloid biosynthesis; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
MTBLC28196	CHEBI:28196	erythromycin B	Biosynthesis of 12-, 14- and 16-membered macrolides; Biosynthesis of antibiotics
MTBLC28199	CHEBI:28199	ferrienterobactin(3-)	ABC transporters; Two-component system
MTBLC28200	CHEBI:28200	2-chloroethanol	Chloroalkane and chloroalkene degradation; Metabolic pathways; Microbial metabolism in diverse environments
MTBLC28201	CHEBI:28201	rotenone	Isoflavonoid biosynthesis; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metabolites; Parkinson's disease
